timestamp_ms,ax,ay,az,gx,gy,gz
284351,0.27,0.08,-0.96,-3.23,-1.77,1.71
284383,0.29,0.09,-0.95,-4.94,-2.62,2.01
284416,0.28,0.07,-0.93,-4.52,-3.72,1.65
284449,0.29,0.09,-0.93,-7.75,-0.55,3.17
284481,0.29,0.10,-0.96,-0.92,1.95,1.59
284513,0.28,0.09,-0.94,1.16,-0.37,-0.92
284546,0.27,0.06,-0.93,1.10,-0.18,-0.67
284578,0.29,0.07,-0.94,-0.85,1.53,2.44
284610,0.29,0.08,-0.93,-0.67,-0.73,1.53
284642,0.28,0.06,-0.91,1.89,1.10,0.73
284674,0.27,0.05,-0.90,0.79,2.26,3.11
284706,0.28,0.07,-0.89,-0.18,2.93,4.88
284734,0.27,0.07,-0.87,3.17,2.62,2.93
284766,0.28,0.04,-0.87,4.09,2.08,-0.61
284798,0.27,0.03,-0.86,-4.70,-2.99,1.10
284831,0.25,0.05,-0.80,-8.24,-4.46,3.97
284863,0.28,0.04,-0.74,4.03,3.36,7.02
284895,0.25,0.06,-0.72,5.25,8.85,8.12
284927,0.21,0.10,-0.76,5.25,22.71,8.00
284959,0.23,0.10,-0.81,32.78,27.10,6.53
284991,0.19,0.06,-0.80,34.97,28.50,15.08
285023,0.18,0.12,-0.78,28.75,38.45,19.04
285055,0.14,0.10,-0.80,43.52,48.28,22.28
285084,0.15,0.12,-0.82,39.73,52.55,30.82
285116,0.12,0.18,-0.85,28.87,57.50,31.86
285148,0.12,0.18,-0.90,48.52,50.42,32.35
285179,0.08,0.19,-0.94,38.21,36.68,34.91
285211,0.08,0.34,-1.01,29.66,20.32,24.90
285244,0.10,0.35,-1.05,44.43,-9.03,6.77
285276,0.04,0.22,-0.99,49.50,-43.88,0.06
285308,-0.04,0.23,-0.94,20.69,-37.11,15.87
285341,0.03,0.37,-0.93,15.50,-25.76,16.66
285373,-0.01,0.36,-0.93,15.87,-21.91,17.64
285406,-0.04,0.47,-1.00,5.19,0.92,26.25
285438,0.05,0.47,-1.05,5.55,-0.31,17.76
285471,-0.04,0.42,-0.98,2.44,-3.60,18.98
285503,0.01,0.49,-1.03,-2.87,16.42,23.68
285535,0.05,0.38,-1.04,5.80,4.21,16.17
285567,-0.02,0.31,-0.92,-8.79,7.51,20.02
285600,-0.02,0.38,-1.01,2.99,22.28,31.74
285632,-0.00,0.42,-1.00,1.16,16.97,34.36
285664,-0.02,0.39,-0.98,-1.65,14.83,25.21
285697,-0.06,0.39,-0.99,-2.32,26.49,33.45
285729,-0.06,0.41,-1.02,1.46,23.07,35.64
285761,-0.06,0.46,-1.00,-0.31,23.19,34.91
285794,-0.09,0.39,-0.95,1.83,27.22,36.62
285826,-0.09,0.44,-1.02,8.48,44.19,48.83
285858,-0.11,0.41,-1.03,0.49,41.87,44.49
285890,-0.14,0.46,-0.99,-3.78,33.94,38.33
285920,-0.15,0.45,-0.93,-1.46,31.68,23.25
285949,-0.20,0.41,-0.94,0.67,42.11,3.85
285981,-0.20,0.41,-0.94,2.32,44.49,4.46
286013,-0.26,0.36,-0.96,16.05,39.73,3.72
286044,-0.21,0.45,-0.97,3.85,36.01,-0.92
286077,-0.25,0.49,-0.87,24.48,26.86,-18.62
286109,-0.32,0.43,-0.88,31.80,34.18,-28.99
286142,-0.32,0.37,-0.92,18.13,45.53,-31.25
286174,-0.33,0.37,-0.93,12.45,31.43,-17.58
286205,-0.31,0.35,-0.95,-1.77,25.09,2.99
286236,-0.28,0.44,-0.92,-10.68,22.83,9.89
286266,-0.26,0.45,-0.91,-15.56,21.24,5.86
286298,-0.27,0.44,-0.90,-21.79,28.63,0.43
286330,-0.24,0.45,-0.93,-22.95,33.81,-3.11
286362,-0.26,0.46,-0.93,-16.72,20.69,-7.45
286395,-0.29,0.39,-0.91,-7.02,6.04,-5.98
286428,-0.33,0.37,-0.88,-7.45,-1.83,-3.36
286462,-0.36,0.40,-0.82,-7.08,-2.32,-0.37
286495,-0.40,0.38,-0.80,-2.93,7.87,-0.24
286527,-0.36,0.38,-0.88,-3.54,3.17,-1.10
286560,-0.37,0.36,-0.83,-1.16,-8.12,0.49
286593,-0.40,0.35,-0.81,-0.43,0.24,3.36
286625,-0.36,0.39,-0.87,-1.04,0.24,0.73
286657,-0.37,0.35,-0.86,0.37,-4.33,-1.34
286689,-0.38,0.35,-0.84,0.00,-3.91,1.40
286721,-0.34,0.39,-0.87,2.75,-2.08,6.84
286753,-0.35,0.39,-0.86,2.14,-8.79,-2.93
286784,-0.37,0.37,-0.86,-1.53,-5.13,-2.20
286815,-0.38,0.35,-0.83,-1.77,-5.80,1.34
286848,-0.30,0.37,-0.95,-8.42,-7.63,19.41
286880,-0.35,0.40,-0.87,-10.50,-31.37,18.07
286913,-0.35,0.38,-0.77,-0.85,-19.35,7.26
286946,-0.35,0.39,-0.82,7.20,-6.65,-5.68
286979,-0.33,0.35,-0.91,7.69,2.32,-12.33
287011,-0.34,0.31,-0.89,-2.38,-0.92,-14.65
287044,-0.33,0.32,-0.88,0.73,-0.31,-1.16
287076,-0.32,0.38,-0.87,0.12,-2.99,5.43
287108,-0.29,0.39,-0.88,-0.85,-3.30,2.14
287140,-0.30,0.38,-0.87,-1.46,-1.65,-2.01
287173,-0.31,0.38,-0.88,-2.75,0.12,-3.48
287202,-0.27,0.41,-0.93,0.92,-3.17,-1.40
287234,-0.19,0.47,-0.96,4.82,-12.88,3.17
287266,-0.26,0.41,-0.95,22.28,-25.33,9.46
287297,-0.29,0.39,-1.00,16.72,-16.60,11.60
