timestamp_ms,ax,ay,az,gx,gy,gz
354268,0.11,-0.03,0.96,-4.03,4.03,0.12
354300,0.11,-0.03,0.96,2.26,-1.22,0.55
354332,0.11,-0.04,0.99,2.14,-2.99,1.89
354364,0.11,-0.01,1.01,-1.16,-2.08,2.20
354396,0.11,-0.01,1.01,-0.92,-2.50,0.18
354428,0.09,-0.02,1.02,1.40,-1.22,-0.98
354461,0.10,-0.04,0.99,-0.67,0.24,-1.16
354493,0.09,-0.06,1.00,1.34,-1.28,-0.49
354525,0.10,-0.04,0.98,-1.16,0.24,2.20
354550,0.11,-0.02,0.98,0.06,-2.75,2.69
354583,0.09,-0.02,1.00,0.43,-3.66,1.89
354615,0.09,-0.01,1.00,-2.44,-3.97,0.79
354647,0.07,-0.01,1.03,4.39,-3.23,1.28
354680,0.06,-0.02,1.04,0.18,-1.40,-0.18
354712,0.07,-0.03,1.03,-0.49,0.85,0.37
354744,0.09,-0.03,1.00,-0.12,3.05,1.10
354776,0.10,-0.03,1.00,0.43,1.59,0.61
354808,0.10,-0.02,0.99,0.37,1.16,0.24
354840,0.10,-0.01,0.99,-0.61,0.73,-1.59
354872,0.09,-0.05,1.00,2.93,-0.79,-0.92
354904,0.09,-0.05,0.99,-0.85,-0.18,-0.61
354937,0.10,-0.03,0.98,1.16,-1.10,0.24
354969,0.09,-0.03,0.99,-1.16,-2.62,0.12
355001,0.08,-0.03,1.02,1.83,-4.70,1.16
355033,0.09,-0.02,1.01,-0.98,-2.14,0.37
355066,0.10,-0.01,1.03,0.98,-6.77,-0.73
355099,0.16,0.01,1.15,2.44,-17.88,-1.22
355131,0.16,-0.00,1.41,18.98,-42.42,-4.52
355163,0.14,-0.09,1.77,28.56,-55.48,-6.90
355195,0.05,-0.10,2.06,-3.30,-23.80,-13.43
355227,0.03,-0.05,1.83,-52.31,33.39,-27.65
355260,-0.03,-0.02,1.52,-74.71,29.05,-54.75
355293,0.00,-0.09,1.31,-36.25,51.64,-23.86
355325,-0.04,-0.10,1.14,-21.67,74.16,4.27
355358,0.06,0.07,0.90,-22.83,88.62,-4.52
355390,0.18,0.05,0.71,-15.75,91.92,-20.39
355423,0.17,0.06,0.72,-12.02,63.29,-35.46
355454,0.16,0.14,0.82,-29.91,41.81,-57.62
355486,0.08,0.10,0.80,-28.81,42.18,-69.34
355518,0.13,0.02,0.82,-38.88,40.95,-64.21
355550,0.24,-0.00,0.70,-37.05,50.11,-38.09
355583,0.36,0.22,0.46,-37.35,42.72,-45.59
355615,0.26,0.05,0.39,-4.70,-6.10,-66.65
355648,0.16,-0.11,0.78,7.14,-38.51,-52.86
355680,0.28,0.05,0.67,-28.69,-0.55,-34.85
355713,0.26,0.15,0.55,-9.70,-22.64,-34.30
355745,0.19,0.03,0.90,-13.06,-15.99,-26.12
355777,0.31,0.07,0.82,-29.66,14.10,-16.60
355809,0.34,0.26,0.56,-32.47,20.20,-9.46
355841,0.28,0.06,0.66,-5.31,-6.59,-21.00
355873,0.24,0.04,0.72,-17.46,3.60,-10.80
355906,0.31,0.08,0.53,-12.08,12.94,4.82
355938,0.29,0.07,0.54,-15.75,2.01,3.11
355969,0.21,0.13,0.51,-14.65,0.85,9.95
356001,0.27,-0.03,0.50,-2.75,-9.70,20.14
356033,0.19,0.10,0.55,-12.94,-11.47,42.79
356066,0.28,0.18,0.51,13.31,-19.29,47.24
356097,0.18,0.01,0.71,-7.20,-41.44,20.20
356129,0.25,0.26,0.61,-21.61,-26.12,43.82
356162,0.20,0.17,0.80,17.70,-51.82,41.20
356194,0.20,0.34,0.78,7.45,-49.26,53.16
356225,0.25,0.12,0.98,43.58,-66.35,39.43
356257,0.01,-0.02,1.01,2.75,-72.75,10.31
356290,0.17,0.17,1.10,20.87,-64.27,53.71
356321,0.05,0.05,1.31,36.19,-85.94,41.63
356353,-0.14,0.18,1.46,24.90,-74.77,46.75
356385,-0.14,0.15,1.62,36.50,-52.67,36.50
356417,-0.13,0.08,1.47,10.31,-16.36,17.46
356450,-0.03,0.14,1.31,16.30,-5.80,23.93
356481,0.03,0.27,1.23,25.57,-12.39,27.53
356513,-0.05,0.17,1.39,33.20,-19.53,13.49
356546,-0.12,0.04,1.47,20.63,4.39,3.60
356578,-0.03,0.08,1.24,-8.54,32.29,-0.06
356610,0.04,0.11,1.12,-14.89,15.50,-1.16
356642,0.02,0.10,1.08,-2.26,9.46,1.40
356674,0.04,0.05,0.99,-2.99,6.84,-1.77
356706,0.00,0.03,0.99,-2.14,-0.43,4.27
356739,-0.04,0.17,1.00,-7.45,-1.53,1.71
356771,0.02,0.05,0.96,1.95,3.72,-0.18
356803,0.02,0.16,0.91,-5.55,-2.14,2.87
356836,-0.04,0.11,1.02,15.14,-14.34,2.56
356868,-0.04,0.05,1.05,5.19,-5.31,2.38
356900,-0.04,0.12,1.03,5.80,-0.73,2.32
356933,-0.03,0.10,1.00,2.93,-1.10,-4.33
356965,-0.06,0.07,1.06,5.92,-3.60,-3.42
356997,-0.07,0.05,1.06,4.39,5.62,-1.22
357029,-0.02,0.05,0.98,-5.19,8.85,-3.78
357061,0.01,0.05,0.95,-2.44,3.85,0.37
357093,0.01,0.08,0.97,5.07,-1.65,5.62
357125,-0.01,0.08,1.00,4.94,-2.93,3.66
357157,-0.02,0.09,0.98,-0.37,-4.70,-0.12
357190,-0.05,0.07,1.03,7.69,-6.23,0.43
357222,-0.04,0.03,1.03,4.46,0.06,0.49
