timestamp_ms,ax,ay,az,gx,gy,gz
272462,0.10,0.28,0.93,-13.79,-3.97,-1.59
272495,0.10,0.33,0.95,-9.70,-5.74,1.40
272528,0.09,0.35,0.95,-10.62,-5.74,0.79
272560,0.09,0.36,0.96,-9.40,-5.92,-1.59
272593,0.09,0.35,0.95,-12.94,-5.13,-1.16
272624,0.11,0.37,0.94,-12.88,-2.99,0.24
272656,0.11,0.39,0.95,-10.38,-2.56,-0.55
272689,0.12,0.37,0.94,-9.09,0.55,-3.85
272721,0.12,0.35,0.92,-9.46,1.04,-1.71
272753,0.13,0.34,0.89,-7.69,2.44,-1.04
272786,0.13,0.33,0.89,-5.86,-0.55,0.92
272817,0.11,0.36,0.90,-7.63,-3.30,3.66
272849,0.12,0.39,0.90,-8.85,-5.49,3.97
272881,0.09,0.41,0.92,-3.85,-5.19,1.04
272914,0.11,0.39,0.91,-2.75,-1.34,2.69
272946,0.12,0.41,0.88,-7.08,-1.95,3.48
272978,0.11,0.42,0.88,-8.42,-5.49,0.67
273011,0.09,0.39,0.94,0.24,-8.36,-1.10
273043,0.06,0.41,0.98,-4.27,-5.98,3.30
273075,0.06,0.39,0.98,-3.97,-1.46,2.56
273107,0.06,0.40,0.94,-6.96,0.73,2.26
273139,0.08,0.39,0.91,-5.07,3.66,1.89
273172,0.10,0.39,0.86,-9.58,3.60,2.99
273203,0.09,0.44,0.87,-7.51,-1.40,3.72
273234,0.09,0.41,0.91,-0.85,-3.54,0.37
273267,0.09,0.43,0.89,-6.90,-1.53,0.79
273299,0.09,0.44,0.90,-4.70,-4.27,-2.69
273332,0.10,0.39,0.90,-5.86,-4.15,-5.07
273364,0.11,0.35,0.86,-28.99,-11.35,-7.08
273395,0.10,0.39,0.83,-62.26,-23.13,-11.11
273428,0.16,0.39,0.68,-166.63,-42.66,-41.20
273459,-0.07,0.72,0.90,-197.20,-75.44,-42.54
273492,-0.12,0.77,1.07,-43.64,-44.37,-10.38
273525,-0.01,0.63,0.92,50.84,16.17,13.43
273557,0.07,0.66,0.73,2.87,24.96,10.25
273589,0.11,0.59,0.66,-33.20,4.27,-9.58
273621,0.10,0.53,0.66,-64.70,-13.18,-21.24
273653,0.11,0.56,0.72,-153.32,-28.63,-38.21
273683,0.04,0.64,0.67,-314.33,-25.45,-68.79
273716,0.02,0.77,0.37,-467.04,-4.64,-63.29
273748,0.05,1.02,0.17,-609.80,23.86,-65.06
273781,0.04,0.99,0.02,-520.75,49.13,-58.17
273813,0.10,0.67,-0.36,-385.01,88.99,-36.62
273846,0.16,0.31,-0.74,-471.68,105.47,-41.38
273878,0.10,0.33,-1.07,-556.88,78.06,-54.08
273910,0.07,0.28,-1.02,-511.35,85.82,-61.34
273943,0.02,-0.06,-1.01,-484.19,113.59,-84.47
273976,-0.07,-0.34,-0.99,-495.48,118.41,-133.67
274009,-0.05,-0.42,-1.01,-480.77,109.74,-129.33
274042,-0.13,-0.63,-0.76,-318.60,54.75,-105.47
274074,-0.23,-0.71,-0.53,-347.05,29.79,-105.90
274107,-0.33,-0.65,-0.25,-303.53,41.75,-139.28
274139,-0.56,-1.17,-0.24,-214.11,62.32,-128.48
274171,-0.52,-0.89,-0.40,-241.27,79.22,-119.26
274204,-0.57,-0.96,-0.24,-176.76,52.80,-103.21
274237,-0.62,-0.96,-0.13,-139.77,61.71,-72.08
274270,-0.55,-0.95,-0.10,-104.61,36.62,-55.11
274303,-0.61,-0.87,0.07,-66.89,21.97,-28.08
274336,-0.63,-0.79,0.22,-41.69,19.53,-25.39
274368,-0.65,-0.93,0.12,-21.48,22.71,-12.15
274401,-0.62,-0.81,0.12,-21.06,8.79,9.34
274433,-0.64,-0.85,0.17,-0.79,3.54,23.25
274465,-0.56,-0.74,0.24,24.11,-9.70,30.46
274497,-0.63,-0.92,0.20,41.93,-16.24,54.44
274530,-0.63,-0.91,0.14,89.90,-20.20,86.85
274563,-0.49,-0.75,0.00,182.98,-13.43,123.05
274595,-0.41,-0.76,-0.11,239.01,-24.54,102.97
274627,-0.40,-0.99,-0.25,255.31,-39.49,95.95
274660,-0.36,-0.91,-0.34,251.53,-45.04,105.83
274692,-0.32,-0.64,-0.47,337.16,-55.91,76.54
274724,-0.24,-0.72,-0.72,382.87,-36.50,48.65
274757,-0.18,-0.85,-0.89,263.55,-58.59,54.81
274789,-0.16,-0.37,-0.79,296.75,-78.19,55.11
274822,-0.11,-0.22,-0.82,416.26,-41.63,26.00
274855,-0.06,-0.14,-1.09,427.86,-21.97,15.87
274888,-0.07,0.15,-1.11,384.64,-45.59,-2.81
274921,-0.03,0.31,-0.99,359.68,-40.28,-32.84
274954,-0.01,0.45,-0.85,318.73,-41.14,-46.94
274987,0.02,0.58,-0.74,284.36,-31.07,-42.72
275020,0.07,0.70,-0.64,239.62,-31.13,-43.09
275052,0.09,0.82,-0.51,235.53,-30.15,-48.65
