timestamp_ms,ax,ay,az,gx,gy,gz
824178,-0.07,0.09,1.00,-1.46,-1.04,-0.12
824211,-0.07,0.08,1.01,-0.37,0.37,-0.73
824243,-0.06,0.08,0.98,-0.92,2.38,-0.55
824275,-0.05,0.06,0.97,0.18,0.67,-1.53
824307,-0.07,0.07,1.00,-0.24,-2.26,-0.37
824338,-0.07,0.07,1.00,-1.16,-0.73,-0.18
824371,-0.06,0.09,0.99,-0.24,0.06,-0.73
824402,-0.06,0.07,0.99,1.53,-0.24,-0.67
824434,-0.06,0.08,0.99,-2.56,-1.04,-1.04
824466,-0.07,0.09,1.01,-1.16,-1.22,-0.18
824499,-0.07,0.08,1.00,0.85,1.34,-1.22
824532,-0.06,0.09,0.99,-0.73,0.00,-0.98
824564,-0.06,0.10,1.00,0.98,-1.83,-0.67
824596,-0.08,0.11,1.01,1.65,-1.22,-2.99
824628,-0.10,0.13,1.04,0.79,0.67,-4.27
824661,-0.10,0.14,1.02,4.15,5.00,-5.49
824693,-0.14,0.24,1.05,6.04,2.81,-5.86
824725,-0.16,0.31,1.11,10.25,4.70,-10.38
824758,-0.17,0.35,1.12,13.73,13.98,-19.47
824790,-0.15,0.34,1.05,7.20,18.86,-33.51
824821,-0.15,0.31,1.02,6.35,16.66,-42.85
824854,-0.14,0.29,1.01,7.75,16.66,-51.94
824886,-0.14,0.30,1.02,6.84,14.40,-60.00
824918,-0.15,0.22,1.03,8.12,15.81,-70.25
824950,-0.14,0.23,1.03,-2.50,16.54,-78.86
824982,-0.10,0.16,0.98,-3.66,15.26,-86.67
825015,-0.09,0.12,0.99,-6.59,8.85,-91.80
825048,-0.11,0.08,1.03,-8.00,8.06,-95.89
825080,-0.07,0.02,0.99,-15.62,12.57,-99.55
825112,-0.07,0.01,0.98,-14.16,7.75,-99.49
825144,-0.06,-0.05,0.99,-10.44,6.96,-101.20
825177,-0.06,-0.09,1.01,-11.78,4.52,-96.62
825209,-0.03,-0.12,0.98,-14.95,6.96,-88.38
825242,0.01,-0.12,0.98,-15.08,4.76,-82.95
825273,0.05,-0.07,0.96,-22.28,2.56,-75.62
825306,0.05,-0.04,0.96,-21.48,-1.10,-71.96
825339,0.04,-0.05,0.98,-21.24,-1.10,-70.37
825369,0.08,-0.07,0.94,-34.73,-4.82,-64.15
825400,0.06,0.06,1.00,-27.22,-8.79,-58.65
825433,0.07,0.02,1.00,-16.91,-7.93,-60.73
825465,0.06,-0.00,1.01,-11.84,-8.18,-57.37
825498,0.08,-0.02,1.02,-4.76,-3.05,-52.92
825530,0.12,-0.09,0.99,2.56,1.89,-48.10
825563,0.13,-0.06,1.00,-5.31,-1.40,-40.10
825594,0.13,-0.03,1.02,-2.62,-0.55,-33.45
825627,0.13,-0.00,0.99,3.85,3.48,-26.86
825659,0.13,0.00,0.97,6.84,-1.83,-24.05
825692,0.13,-0.01,0.98,11.17,-1.89,-18.01
825724,0.15,0.01,0.96,9.64,4.94,-16.42
825755,0.15,0.01,0.94,6.59,-2.75,-14.34
825787,0.14,-0.02,0.97,3.30,-5.74,-13.55
825820,0.13,0.02,0.97,3.72,0.98,-7.87
825850,0.14,0.04,0.93,8.30,0.98,-4.27
825882,0.11,0.05,0.98,5.92,-7.69,-7.39
825914,0.10,0.06,1.03,3.11,-6.47,-9.40
825946,0.12,0.06,1.02,11.78,3.60,-3.42
825977,0.10,0.01,1.02,8.30,-0.49,-2.99
826009,0.09,0.05,1.06,0.73,-0.37,-1.10
826042,0.09,0.06,1.04,1.34,7.14,-0.18
826073,0.11,0.01,1.00,1.71,9.83,1.59
826105,0.14,-0.04,0.94,-3.48,9.34,7.75
826136,0.14,-0.01,0.95,-4.03,3.60,9.34
826168,0.14,-0.01,0.97,-6.41,2.44,12.02
826200,0.15,-0.06,0.94,-9.22,1.77,14.89
826233,0.11,0.00,1.00,-28.44,-4.76,15.69
826264,0.07,-0.00,1.04,-11.84,3.66,19.04
826297,0.14,-0.05,0.98,-4.94,11.66,27.04
826329,0.14,-0.07,0.94,-9.09,9.28,31.43
826361,0.11,-0.02,1.00,-4.39,3.66,39.37
826394,0.13,-0.09,0.96,6.23,10.07,44.07
826425,0.12,-0.07,0.97,-4.27,1.10,52.67
826458,0.08,-0.02,0.99,1.83,2.56,60.00
826490,0.08,-0.10,0.93,25.94,6.90,64.27
826523,0.07,-0.12,0.98,12.15,-3.85,72.88
826555,0.01,-0.01,1.07,15.32,2.87,79.53
826587,0.04,-0.14,0.92,24.29,17.15,81.91
826619,0.02,-0.14,1.02,-0.67,-2.08,88.26
826652,-0.04,0.06,1.13,10.68,11.23,116.46
826682,-0.02,0.09,1.02,29.91,25.27,110.66
826714,-0.01,0.02,1.02,-0.85,9.16,102.97
826746,-0.05,0.14,1.06,7.39,14.04,116.15
826779,-0.03,0.17,0.98,16.78,21.24,119.38
826810,-0.01,0.15,0.98,11.90,14.04,104.80
826842,-0.02,0.22,1.00,-0.12,13.00,105.04
826874,-0.02,0.43,1.00,2.81,15.69,102.97
826906,0.07,0.36,0.95,24.54,18.19,85.21
826938,0.07,0.39,0.97,7.20,3.91,70.43
826970,0.07,0.34,0.96,-0.43,-2.08,55.73
827003,0.03,0.23,0.97,5.37,-5.07,46.33
827034,0.01,0.23,1.00,-2.20,-8.00,47.30
827066,0.02,0.21,0.97,-9.28,-5.74,41.93
827098,0.04,0.16,0.92,-12.70,-3.78,37.84
827130,0.05,0.28,0.91,-5.00,-12.27,41.50
