timestamp_ms,ax,ay,az,gx,gy,gz
891080,0.14,0.11,0.98,0.79,-1.34,-2.44
891112,0.14,0.09,0.98,-1.89,-3.30,-0.31
891144,0.13,0.11,1.01,1.53,-1.77,-1.53
891177,0.14,0.08,0.96,-0.43,1.28,-0.55
891209,0.14,0.08,0.98,-1.83,-3.11,0.06
891241,0.13,0.11,1.00,-0.85,-3.23,1.46
891273,0.14,0.10,1.00,-0.24,-1.83,0.06
891305,0.13,0.12,1.01,0.37,-0.24,1.89
891337,0.13,0.12,1.02,2.32,0.92,0.18
891368,0.13,0.08,1.02,1.28,2.44,-0.67
891400,0.13,0.11,1.01,0.37,5.19,3.66
891432,0.14,0.12,0.99,5.07,6.59,0.43
891463,0.15,0.09,0.94,1.04,5.25,0.73
891494,0.14,0.09,0.96,-3.05,0.67,1.28
891527,0.14,0.11,0.97,1.95,1.34,2.38
891558,0.14,0.10,0.99,2.56,-0.49,0.24
891590,0.15,0.06,0.97,4.88,-0.18,0.79
891621,0.13,0.01,1.00,6.71,-5.49,2.75
891653,0.10,-0.05,1.04,2.26,-5.19,5.68
891685,0.09,-0.08,1.07,10.44,-1.65,9.58
891717,0.08,-0.09,1.08,15.87,1.65,15.99
891749,0.07,-0.15,1.06,22.64,0.92,23.13
891781,0.06,-0.24,1.01,31.01,12.94,27.34
891813,0.06,-0.35,0.92,21.42,12.08,44.31
891845,0.05,-0.14,0.97,10.31,14.10,68.30
891878,0.05,-0.19,0.93,26.79,13.55,73.97
891909,0.10,-0.13,0.94,23.50,8.12,89.29
891941,0.06,-0.15,0.92,17.76,-0.24,91.13
891973,0.03,-0.02,1.02,10.86,-5.74,94.06
892006,0.03,0.06,1.07,38.70,4.39,99.43
892037,0.06,-0.15,0.94,22.28,11.84,86.67
892068,0.04,-0.02,0.98,20.81,-1.53,104.55
892101,-0.01,-0.17,0.91,1.77,-7.57,112.49
892134,-0.01,0.00,1.00,-10.62,-8.00,117.49
892166,-0.02,0.26,1.01,-19.35,0.49,132.63
892198,0.03,0.13,0.88,1.40,-5.49,108.34
892229,-0.05,0.01,0.92,-0.12,-26.06,108.70
892262,-0.11,0.18,1.07,-7.75,-33.02,115.54
892294,-0.09,0.24,1.10,11.84,-15.56,111.69
892326,-0.04,0.15,0.97,-3.78,2.62,100.77
892359,-0.03,0.14,0.95,-8.42,-9.77,104.13
892391,-0.16,-0.00,0.98,-18.55,-18.01,104.61
892424,-0.16,0.11,1.06,-26.73,-15.93,114.26
892456,-0.12,0.37,1.08,-35.03,-2.32,128.60
892489,-0.06,0.32,0.99,-26.25,8.73,105.53
892520,-0.11,0.28,1.04,-23.25,-2.38,101.07
892553,-0.15,0.32,1.12,-29.85,-0.73,100.83
892585,-0.13,0.44,1.14,-22.89,14.34,97.41
892618,-0.08,0.37,1.00,-17.88,29.42,80.38
892650,-0.08,0.28,1.01,-7.69,18.92,75.20
892682,-0.10,0.26,1.01,-6.41,22.52,73.97
892714,-0.07,0.26,0.95,-0.37,29.11,74.89
892747,-0.04,0.28,0.93,-2.01,23.13,72.81
892778,-0.04,0.32,0.95,6.71,17.64,68.66
892809,-0.03,0.30,0.96,4.94,17.21,63.54
892841,-0.02,0.36,0.97,-0.24,18.68,62.81
892873,0.00,0.32,0.95,7.63,20.26,54.93
892905,0.01,0.28,0.94,1.77,13.43,50.78
892937,0.02,0.35,0.98,0.73,16.24,46.63
892969,0.06,0.40,0.99,5.98,15.44,44.01
893001,0.05,0.44,1.00,-1.77,17.82,33.39
893033,0.09,0.41,0.90,-6.04,26.31,20.87
893065,0.10,0.36,0.85,-2.26,12.51,7.63
893096,0.07,0.28,0.94,3.48,-1.40,-1.40
893129,0.05,0.21,0.97,1.10,-0.12,-5.00
893161,0.05,0.20,0.97,-1.83,0.67,-3.36
893193,0.06,0.21,0.98,2.81,1.89,-3.85
893225,0.06,0.22,1.01,6.16,2.93,-4.09
893257,0.09,0.23,0.97,5.62,6.53,-7.69
893289,0.06,0.21,0.96,3.05,1.65,-8.30
893319,0.08,0.20,0.96,5.74,3.85,-8.54
893351,0.07,0.18,0.97,2.93,-0.31,-6.90
893383,0.07,0.18,1.00,0.67,-2.01,-4.46
893415,0.06,0.19,1.02,-4.27,0.12,-3.05
893448,0.08,0.20,1.01,-1.16,2.08,-0.98
893480,0.08,0.23,1.01,-1.95,4.94,-2.81
893513,0.10,0.20,0.97,1.83,4.76,-5.00
893544,0.07,0.18,0.98,-0.31,2.87,-3.42
893577,0.08,0.17,0.96,0.49,6.65,-1.10
893609,0.10,0.20,0.94,-4.21,5.74,0.12
893641,0.10,0.22,0.94,-2.99,-1.83,-0.37
893673,0.08,0.24,0.97,2.32,-0.31,-3.54
893706,0.09,0.21,1.00,1.28,-0.79,-5.25
893738,0.07,0.22,1.01,-0.98,-1.28,-5.62
893771,0.08,0.25,1.04,4.88,1.77,-5.98
893803,0.10,0.22,1.03,0.67,7.39,-10.07
893834,0.11,0.25,0.98,1.22,6.23,-10.25
893867,0.09,0.20,1.02,3.72,3.48,-14.77
893899,0.10,0.18,0.96,-0.98,7.87,-13.00
893931,0.12,0.17,0.95,-0.61,5.00,-13.98
893963,0.11,0.20,0.93,-3.05,2.81,-11.47
893996,0.10,0.20,0.97,2.01,0.12,-12.82
894027,0.11,0.17,0.97,3.48,2.01,-14.83
