,importancia
az_max,0.058341190322564254
az_min,0.03685958309179946
az_mean,0.033985626307097554
az_median,0.02877125542287223
az_variance,0.025469040831267376
gz_t_argmax,0.025184158756783582
az_std,0.02439591311936956
gz_t_argmin,0.02306196758723007
gz_energy,0.020333164469664173
gz_variance,0.017740607000704803
corr_ax_az,0.017563096859730398
gz_rms,0.017080684448742837
gz_f_centroid,0.014783365195971091
az_range,0.014555459370489857
sma_gyro,0.014023019105348944
gx_range,0.013979091043005595
gx_min,0.01375321622131939
gz_std,0.013479342805625351
gyro_mag_variance,0.013060348698264756
gyro_mag_energy,0.012624326389421505
gx_variance,0.012345291898706178
gx_mean_abs_diff,0.012292740133634697
gyro_mag_mean,0.012054258683236752
gyro_mag_rms,0.011822604231713316
gyro_mag_range,0.010857638870995195
gz_iqr,0.010630051057978077
acc_mag_variance,0.010545824612123975
gyro_mag_std,0.010539812382106786
ay_std,0.010532410806263956
ax_max,0.010366467745719116
gz_f_spread,0.010334498932315413
gx_max,0.010103900742288669
gyro_mag_mean_abs_diff,0.010025014392988509
gx_std,0.009834373614050984
gz_spec_entropy,0.009823717417869854
gy_std,0.009815379863050583
acc_mag_range,0.009658710926353928
gx_rms,0.00948386160915553
gy_max,0.009467869080981068
acc_mag_std,0.009417909943323234
gyro_mag_max,0.00898583274810465
ay_variance,0.008924328140980988
acc_mag_max,0.008766121586512556
az_iqr,0.008728348338427611
gy_energy,0.008184319401193518
gyro_mag_iqr,0.008000895980980903
corr_gx_gz,0.007378441412153949
ay_t_argmin,0.007194166756388424
gz_range,0.007056303519792971
gz_max,0.007041464758320379
gy_variance,0.006625353483010735
ay_min,0.00655736759587188
corr_gy_gz,0.0063873282203244725
corr_ax_ay,0.005980780679241228
gx_t_argmax,0.005649860245062815
gy_range,0.005541883366575427
corr_gx_gy,0.005538117725824339
ay_energy,0.0055337520772673725
gz_mean,0.005272532191911985
az_mean_abs_diff,0.005257193860470811
gx_energy,0.005242851240252735
ay_mad,0.005060620958092463
acc_mag_iqr,0.005034972674986481
gyro_mag_mad,0.004864997404561239
az_rms,0.0048568489391745085
gz_mad,0.004620797897193764
ay_t_argmax,0.004502876485719443
gy_rms,0.004467926784608346
az_energy,0.004290103441705309
gx_f_centroid,0.004268386225285974
gy_t_argmax,0.004226219508243737
ax_range,0.00422490471907392
ax_mean,0.0039966278884835055
acc_mag_min,0.0038967632378354372
ay_mean_abs_diff,0.0038616059822357746
gz_min,0.0035474209615330957
ay_iqr,0.0035274750519158986
gx_iqr,0.003491540345551068
gz_f_dom,0.0034532155539729746
gx_f_spread,0.0032969693378636267
acc_mag_energy,0.0032932219557747205
acc_mag_rms,0.003095478501193702
ax_std,0.0030828931817455207
ay_range,0.003070339708931509
acc_mag_mean,0.00306694078579547
az_mad,0.003050511983212802
gyro_mag_median,0.0030327915261224706
gz_zcr,0.002997698339754555
acc_mag_skewness,0.0028406230163235085
ay_f_centroid,0.0028230982995731723
acc_mag_mad,0.0026665998268967355
ay_rms,0.002613873226138635
gx_spec_entropy,0.002581046499751335
corr_ay_az,0.0023307540855524917
gyro_mag_f_spread,0.0022340101538521487
ax_min,0.0021814928932340945
sma_acc,0.0020624209152147674
gy_min,0.002025937753019415
gy_iqr,0.0019017741342946084
gz_entropy,0.0018853519866394739
ax_t_argmax,0.0018630105179460903
acc_mag_f_dom,0.001849489923563449
gz_kurtosis,0.0017642819755185305
gy_mad,0.0017184676796721233
ax_energy,0.0017038056765624494
gx_mad,0.0016820803509262012
acc_mag_mean_abs_diff,0.0016302318676056423
gy_t_argmin,0.0015648461443700165
ax_t_argmin,0.0015629373922298028
ay_kurtosis,0.0015612362337792968
ax_median,0.0015263860107224084
ay_max,0.0014696662581313471
ay_skewness,0.001410939302323779
ay_spec_entropy,0.0014092968456965813
ax_mean_abs_diff,0.0013582206940484156
