gesture,participant_id,session_id,repetition_id,recording_id,window_id,segment_id,source_file,n_muestras,fs_hz,duracion_s,conjunto
abajo,01,01,1,abajo_p01_s01_r001,0,abajo_p01_s01_r001_w00,abajo/participante_01_sesion_01_rep_001.csv,45,30.303030303030305,1.485,entrenamiento
abajo,01,01,1,abajo_p01_s01_r001,1,abajo_p01_s01_r001_w01,abajo/participante_01_sesion_01_rep_001.csv,45,30.303030303030305,1.485,entrenamiento
abajo,01,01,1,abajo_p01_s01_r001,2,abajo_p01_s01_r001_w02,abajo/participante_01_sesion_01_rep_001.csv,45,30.303030303030305,1.485,entrenamiento
abajo,01,01,2,abajo_p01_s01_r002,0,abajo_p01_s01_r002_w00,abajo/participante_01_sesion_01_rep_002.csv,45,30.303030303030305,1.485,entrenamiento
abajo,01,01,2,abajo_p01_s01_r002,1,abajo_p01_s01_r002_w01,abajo/participante_01_sesion_01_rep_002.csv,45,30.303030303030305,1.485,entrenamiento
abajo,01,01,2,abajo_p01_s01_r002,2,abajo_p01_s01_r002_w02,abajo/participante_01_sesion_01_rep_002.csv,45,30.303030303030305,1.485,entrenamiento
abajo,01,01,3,abajo_p01_s01_r003,0,abajo_p01_s01_r003_w00,abajo/participante_01_sesion_01_rep_003.csv,45,30.303030303030305,1.485,entrenamiento
abajo,01,01,3,abajo_p01_s01_r003,1,abajo_p01_s01_r003_w01,abajo/participante_01_sesion_01_rep_003.csv,45,30.303030303030305,1.485,entrenamiento
abajo,01,01,3,abajo_p01_s01_r003,2,abajo_p01_s01_r003_w02,abajo/participante_01_sesion_01_rep_003.csv,45,30.303030303030305,1.485,entrenamiento
abajo,01,01,4,abajo_p01_s01_r004,0,abajo_p01_s01_r004_w00,abajo/participante_01_sesion_01_rep_004.csv,47,31.25,1.504,entrenamiento
abajo,01,01,4,abajo_p01_s01_r004,1,abajo_p01_s01_r004_w01,abajo/participante_01_sesion_01_rep_004.csv,47,31.25,1.504,entrenamiento
