proyeccion,dim,covarianza,frontera,media,desv
LDA,3,comun,lineal,0.8422222222222222,0.014940210056863712
LDA,3,propia,cuadratica,0.808,0.029568084228408724
LDA,2,comun,lineal,0.7595555555555555,0.02570103519075725
Caracteristicas,3,comun,lineal,0.6911111111111111,0.042814558502372604
Caracteristicas,2,comun,lineal,0.6853333333333333,0.03964284999284936
Caracteristicas,2,propia,cuadratica,0.6844444444444445,0.028249330812570167
Caracteristicas,3,propia,cuadratica,0.6808888888888889,0.0433327635290173
LDA,2,propia,cuadratica,0.6795555555555556,0.04725345372445159
PCA,3,comun,lineal,0.6586666666666666,0.04507551962136212
PCA,3,propia,cuadratica,0.6542222222222221,0.04984122940044866
PCA,2,propia,cuadratica,0.43822222222222224,0.04086472716079145
PCA,2,comun,lineal,0.384,0.06160647713261455
