proyeccion,dim,covarianza,frontera,pliegue,balanced_accuracy
Caracteristicas,2,comun,lineal,1,0.6644444444444445
Caracteristicas,2,propia,cuadratica,1,0.7222222222222223
PCA,2,comun,lineal,1,0.4288888888888889
PCA,2,propia,cuadratica,1,0.4666666666666666
LDA,2,comun,lineal,1,0.76
LDA,2,propia,cuadratica,1,0.6511111111111111
Caracteristicas,3,comun,lineal,1,0.6644444444444445
Caracteristicas,3,propia,cuadratica,1,0.72
PCA,3,comun,lineal,1,0.6377777777777778
PCA,3,propia,cuadratica,1,0.6155555555555555
LDA,3,comun,lineal,1,0.828888888888889
LDA,3,propia,cuadratica,1,0.8022222222222222
Caracteristicas,2,comun,lineal,2,0.7266666666666667
Caracteristicas,2,propia,cuadratica,2,0.7133333333333334
PCA,2,comun,lineal,2,0.4222222222222222
PCA,2,propia,cuadratica,2,0.4955555555555556
LDA,2,comun,lineal,2,0.8044444444444444
LDA,2,propia,cuadratica,2,0.7222222222222221
Caracteristicas,3,comun,lineal,2,0.7488888888888889
Caracteristicas,3,propia,cuadratica,2,0.7377777777777779
PCA,3,comun,lineal,2,0.7155555555555555
PCA,3,propia,cuadratica,2,0.74
LDA,3,comun,lineal,2,0.8466666666666667
LDA,3,propia,cuadratica,2,0.7733333333333333
Caracteristicas,2,comun,lineal,3,0.7044444444444444
Caracteristicas,2,propia,cuadratica,3,0.6511111111111111
PCA,2,comun,lineal,3,0.4444444444444445
PCA,2,propia,cuadratica,3,0.44000000000000006
LDA,2,comun,lineal,3,0.7533333333333333
LDA,2,propia,cuadratica,3,0.7444444444444445
Caracteristicas,3,comun,lineal,3,0.7044444444444444
Caracteristicas,3,propia,cuadratica,3,0.6755555555555557
PCA,3,comun,lineal,3,0.6888888888888889
PCA,3,propia,cuadratica,3,0.6799999999999999
LDA,3,comun,lineal,3,0.8666666666666668
LDA,3,propia,cuadratica,3,0.8444444444444444
Caracteristicas,2,comun,lineal,4,0.6177777777777778
Caracteristicas,2,propia,cuadratica,4,0.6622222222222223
PCA,2,comun,lineal,4,0.28444444444444444
PCA,2,propia,cuadratica,4,0.40888888888888886
LDA,2,comun,lineal,4,0.7555555555555555
LDA,2,propia,cuadratica,4,0.6155555555555555
Caracteristicas,3,comun,lineal,4,0.6244444444444445
Caracteristicas,3,propia,cuadratica,4,0.6199999999999999
PCA,3,comun,lineal,4,0.5844444444444444
PCA,3,propia,cuadratica,4,0.6066666666666667
LDA,3,comun,lineal,4,0.8444444444444444
LDA,3,propia,cuadratica,4,0.8400000000000001
Caracteristicas,2,comun,lineal,5,0.7133333333333334
Caracteristicas,2,propia,cuadratica,5,0.6733333333333335
PCA,2,comun,lineal,5,0.33999999999999997
PCA,2,propia,cuadratica,5,0.38
LDA,2,comun,lineal,5,0.7244444444444444
LDA,2,propia,cuadratica,5,0.6644444444444445
Caracteristicas,3,comun,lineal,5,0.7133333333333334
Caracteristicas,3,propia,cuadratica,5,0.6511111111111112
PCA,3,comun,lineal,5,0.6666666666666666
PCA,3,propia,cuadratica,5,0.6288888888888888
LDA,3,comun,lineal,5,0.8244444444444443
LDA,3,propia,cuadratica,5,0.78
